LocationType,Location,TimeFrame,DataFormat,Data
School District,Dawson Springs Ind.,2007,Percent,0.79
School District,Dawson Springs Ind.,2008,Percent,0.9
School District,Dawson Springs Ind.,2009,Number,26
School District,Dawson Springs Ind.,2009,Percent,0.72
School District,Dayton Ind.,2003,Number,36
School District,Dayton Ind.,2004,Number,55
School District,Dayton Ind.,2005,Number,46
School District,Dayton Ind.,2006,Number,67
School District,Dayton Ind.,2007,Number,64
School District,Dayton Ind.,2008,Number,62
School District,Dayton Ind.,2003,Percent,0.54
School District,Dayton Ind.,2004,Percent,0.77
School District,Dayton Ind.,2005,Percent,0.78
School District,Dayton Ind.,2006,Percent,0.89
School District,Dayton Ind.,2007,Percent,1
School District,Dayton Ind.,2008,Percent,0.97
School District,Dayton Ind.,2009,Number,45
School District,Dayton Ind.,2009,Percent,0.9
School District,East Bernstadt Ind.,2003,Number,*
School District,East Bernstadt Ind.,2004,Number,*
School District,East Bernstadt Ind.,2005,Number,*
School District,East Bernstadt Ind.,2006,Number,*
School District,East Bernstadt Ind.,2007,Number,*
School District,East Bernstadt Ind.,2008,Number,*
School District,East Bernstadt Ind.,2003,Percent,*
School District,East Bernstadt Ind.,2004,Percent,*
School District,East Bernstadt Ind.,2005,Percent,*
School District,East Bernstadt Ind.,2006,Percent,*
School District,East Bernstadt Ind.,2007,Percent,*
School District,East Bernstadt Ind.,2008,Percent,*
School District,East Bernstadt Ind.,2009,Number,*
School District,East Bernstadt Ind.,2009,Percent,*
School District,Edmonson Co.,2003,Number,138
School District,Edmonson Co.,2004,Number,109
School District,Edmonson Co.,2005,Number,123
School District,Edmonson Co.,2006,Number,118
School District,Edmonson Co.,2007,Number,139
School District,Edmonson Co.,2008,Number,141
School District,Edmonson Co.,2003,Percent,0.84
School District,Edmonson Co.,2004,Percent,0.81
School District,Edmonson Co.,2005,Percent,0.81
School District,Edmonson Co.,2006,Percent,0.81
School District,Edmonson Co.,2007,Percent,0.86
School District,Edmonson Co.,2008,Percent,0.89
School District,Edmonson Co.,2009,Number,121
School District,Edmonson Co.,2009,Percent,0.85
School District,Elizabethtown Ind.,2003,Number,167
School District,Elizabethtown Ind.,2004,Number,140
School District,Elizabethtown Ind.,2005,Number,165
School District,Elizabethtown Ind.,2006,Number,170
School District,Elizabethtown Ind.,2007,Number,139
School District,Elizabethtown Ind.,2008,Number,137
School District,Elizabethtown Ind.,2003,Percent,0.85
School District,Elizabethtown Ind.,2004,Percent,0.85
School District,Elizabethtown Ind.,2005,Percent,0.87
School District,Elizabethtown Ind.,2006,Percent,0.9
School District,Elizabethtown Ind.,2007,Percent,0.87
School District,Elizabethtown Ind.,2008,Percent,0.85
School District,Elizabethtown Ind.,2009,Number,161
School District,Elizabethtown Ind.,2009,Percent,0.85
School District,Elliott Co.,2003,Number,76
School District,Elliott Co.,2004,Number,61
School District,Elliott Co.,2005,Number,79
School District,Elliott Co.,2006,Number,59
School District,Elliott Co.,2007,Number,69
School District,Elliott Co.,2008,Number,61
School District,Elliott Co.,2003,Percent,0.78
School District,Elliott Co.,2004,Percent,0.79
School District,Elliott Co.,2005,Percent,0.76
School District,Elliott Co.,2006,Percent,0.76
School District,Elliott Co.,2007,Percent,0.85
School District,Elliott Co.,2008,Percent,0.78
School District,Elliott Co.,2009,Number,68
School District,Elliott Co.,2009,Percent,0.78
School District,Eminence Ind.,2003,Number,18
School District,Eminence Ind.,2004,Number,32
School District,Eminence Ind.,2005,Number,35
School District,Eminence Ind.,2006,Number,26
School District,Eminence Ind.,2007,Number,28
School District,Eminence Ind.,2008,Number,34
School District,Eminence Ind.,2003,Percent,0.86
School District,Eminence Ind.,2004,Percent,0.89
School District,Eminence Ind.,2005,Percent,0.95
School District,Eminence Ind.,2006,Percent,0.87
School District,Eminence Ind.,2007,Percent,0.97
School District,Eminence Ind.,2008,Percent,1
School District,Eminence Ind.,2009,Number,34
School District,Eminence Ind.,2009,Percent,1
School District,Erlanger-Elsmere Ind.,2003,Number,94
School District,Erlanger-Elsmere Ind.,2004,Number,117
School District,Erlanger-Elsmere Ind.,2005,Number,103
School District,Erlanger-Elsmere Ind.,2006,Number,106
School District,Erlanger-Elsmere Ind.,2007,Number,117
School District,Erlanger-Elsmere Ind.,2008,Number,121
School District,Erlanger-Elsmere Ind.,2003,Percent,0.87
School District,Erlanger-Elsmere Ind.,2004,Percent,0.88
School District,Erlanger-Elsmere Ind.,2005,Percent,0.91
School District,Erlanger-Elsmere Ind.,2006,Percent,0.88
School District,Erlanger-Elsmere Ind.,2007,Percent,0.9
School District,Erlanger-Elsmere Ind.,2008,Percent,0.88
School District,Erlanger-Elsmere Ind.,2009,Number,148
School District,Erlanger-Elsmere Ind.,2009,Percent,0.86
School District,Estill Co.,2003,Number,142
School District,Estill Co.,2004,Number,154
School District,Estill Co.,2005,Number,121
School District,Estill Co.,2006,Number,133
School District,Estill Co.,2007,Number,145
School District,Estill Co.,2008,Number,136
School District,Estill Co.,2003,Percent,0.74
School District,Estill Co.,2004,Percent,0.79
School District,Estill Co.,2005,Percent,0.83
School District,Estill Co.,2006,Percent,0.81
School District,Estill Co.,2007,Percent,0.92
School District,Estill Co.,2008,Percent,0.91
School District,Estill Co.,2009,Number,152
School District,Estill Co.,2009,Percent,0.92
School District,Fairview Ind.,2003,Number,43
School District,Fairview Ind.,2004,Number,48
School District,Fairview Ind.,2005,Number,55
School District,Fairview Ind.,2006,Number,61
School District,Fairview Ind.,2007,Number,60
School District,Fairview Ind.,2008,Number,61
School District,Fairview Ind.,2003,Percent,0.88
School District,Fairview Ind.,2004,Percent,0.92
School District,Fairview Ind.,2005,Percent,0.87
School District,Fairview Ind.,2006,Percent,0.98
School District,Fairview Ind.,2007,Percent,0.97
School District,Fairview Ind.,2008,Percent,0.97
School District,Fairview Ind.,2009,Number,76
School District,Fairview Ind.,2009,Percent,0.97
School District,Fayette Co.,2003,Number,1672
School District,Fayette Co.,2004,Number,1807
School District,Fayette Co.,2005,Number,1819
School District,Fayette Co.,2006,Number,1848
School District,Fayette Co.,2007,Number,1928
School District,Fayette Co.,2008,Number,1927
School District,Fayette Co.,2003,Percent,0.75
School District,Fayette Co.,2004,Percent,0.76
School District,Fayette Co.,2005,Percent,0.77
School District,Fayette Co.,2006,Percent,0.79
School District,Fayette Co.,2007,Percent,0.79
School District,Fayette Co.,2008,Percent,0.81
School District,Fayette Co.,2009,Number,2058
School District,Fayette Co.,2009,Percent,0.84
School District,Fleming Co.,2003,Number,137
School District,Fleming Co.,2004,Number,129
School District,Fleming Co.,2005,Number,133
School District,Fleming Co.,2006,Number,154
School District,Fleming Co.,2007,Number,148
School District,Fleming Co.,2008,Number,142
School District,Fleming Co.,2003,Percent,0.79
School District,Fleming Co.,2004,Percent,0.74
School District,Fleming Co.,2005,Percent,0.83
School District,Fleming Co.,2006,Percent,0.8
School District,Fleming Co.,2007,Percent,0.83
School District,Fleming Co.,2008,Percent,0.89
School District,Fleming Co.,2009,Number,138
School District,Fleming Co.,2009,Percent,0.93
School District,Floyd Co.,2003,Number,395
School District,Floyd Co.,2004,Number,362
School District,Floyd Co.,2005,Number,405
School District,Floyd Co.,2006,Number,400
School District,Floyd Co.,2007,Number,377
School District,Floyd Co.,2008,Number,411
School District,Floyd Co.,2003,Percent,0.75
School District,Floyd Co.,2004,Percent,0.75
School District,Floyd Co.,2005,Percent,0.79
School District,Floyd Co.,2006,Percent,0.84
School District,Floyd Co.,2007,Percent,0.85
School District,Floyd Co.,2008,Percent,0.84
School District,Floyd Co.,2009,Number,441
School District,Floyd Co.,2009,Percent,0.87
School District,Fort Thomas Ind.,2003,Number,180
School District,Fort Thomas Ind.,2004,Number,200
School District,Fort Thomas Ind.,2005,Number,190
School District,Fort Thomas Ind.,2006,Number,185
School District,Fort Thomas Ind.,2007,Number,186
School District,Fort Thomas Ind.,2008,Number,203
School District,Fort Thomas Ind.,2003,Percent,0.97
School District,Fort Thomas Ind.,2004,Percent,0.95
School District,Fort Thomas Ind.,2005,Percent,0.96
School District,Fort Thomas Ind.,2006,Percent,0.96
School District,Fort Thomas Ind.,2007,Percent,0.98
School District,Fort Thomas Ind.,2008,Percent,0.98
School District,Fort Thomas Ind.,2009,Number,195
School District,Fort Thomas Ind.,2009,Percent,0.95
School District,Frankfort Ind.,2003,Number,68
School District,Frankfort Ind.,2004,Number,59
School District,Frankfort Ind.,2005,Number,82
School District,Frankfort Ind.,2006,Number,73
School District,Frankfort Ind.,2007,Number,77
School District,Frankfort Ind.,2008,Number,72
School District,Frankfort Ind.,2003,Percent,0.8
School District,Frankfort Ind.,2004,Percent,0.83
School District,Frankfort Ind.,2005,Percent,0.94
School District,Frankfort Ind.,2006,Percent,0.8
School District,Frankfort Ind.,2007,Percent,0.93
School District,Frankfort Ind.,2008,Percent,0.9
School District,Frankfort Ind.,2009,Number,62
School District,Frankfort Ind.,2009,Percent,0.95
School District,Franklin Co.,2003,Number,336
School District,Franklin Co.,2004,Number,359
School District,Franklin Co.,2005,Number,295
School District,Franklin Co.,2006,Number,336
School District,Franklin Co.,2007,Number,339
School District,Franklin Co.,2008,Number,338
School District,Franklin Co.,2003,Percent,0.78
School District,Franklin Co.,2004,Percent,0.8
School District,Franklin Co.,2005,Percent,0.78
School District,Franklin Co.,2006,Percent,0.84
School District,Franklin Co.,2007,Percent,0.8
School District,Franklin Co.,2008,Percent,0.82
School District,Franklin Co.,2009,Number,410
School District,Franklin Co.,2009,Percent,0.87
School District,Fulton Co.,2003,Number,51
School District,Fulton Co.,2004,Number,39
School District,Fulton Co.,2005,Number,54
School District,Fulton Co.,2006,Number,51
School District,Fulton Co.,2007,Number,56
School District,Fulton Co.,2008,Number,50
School District,Fulton Co.,2003,Percent,0.85
School District,Fulton Co.,2004,Percent,0.8
School District,Fulton Co.,2005,Percent,0.9
School District,Fulton Co.,2006,Percent,0.84
School District,Fulton Co.,2007,Percent,0.88
School District,Fulton Co.,2008,Percent,0.94
School District,Fulton Co.,2009,Number,51
School District,Fulton Co.,2009,Percent,0.85
School District,Fulton Ind.,2003,Number,37
School District,Fulton Ind.,2004,Number,25
School District,Fulton Ind.,2005,Number,36
School District,Fulton Ind.,2006,Number,22
School District,Fulton Ind.,2007,Number,34
School District,Fulton Ind.,2008,Number,37
School District,Fulton Ind.,2003,Percent,0.86
School District,Fulton Ind.,2004,Percent,0.83
School District,Fulton Ind.,2005,Percent,0.9
School District,Fulton Ind.,2006,Percent,0.85
School District,Fulton Ind.,2007,Percent,0.94
School District,Fulton Ind.,2008,Percent,1
School District,Fulton Ind.,2009,Number,23
School District,Fulton Ind.,2009,Percent,0.96
School District,Gallatin Co.,2003,Number,50
School District,Gallatin Co.,2004,Number,70
School District,Gallatin Co.,2005,Number,80
School District,Gallatin Co.,2006,Number,79
School District,Gallatin Co.,2007,Number,70
School District,Gallatin Co.,2008,Number,100
School District,Gallatin Co.,2003,Percent,0.74
School District,Gallatin Co.,2004,Percent,0.85
School District,Gallatin Co.,2005,Percent,0.89
School District,Gallatin Co.,2006,Percent,0.87
School District,Gallatin Co.,2007,Percent,0.74
School District,Gallatin Co.,2008,Percent,0.87
School District,Gallatin Co.,2009,Number,94
School District,Gallatin Co.,2009,Percent,0.72
School District,Garrard Co.,2003,Number,142
School District,Garrard Co.,2004,Number,144
School District,Garrard Co.,2005,Number,111
School District,Garrard Co.,2006,Number,123
School District,Garrard Co.,2007,Number,139
School District,Garrard Co.,2008,Number,151
School District,Garrard Co.,2003,Percent,0.74
School District,Garrard Co.,2004,Percent,0.84
School District,Garrard Co.,2005,Percent,0.75
School District,Garrard Co.,2006,Percent,0.83
School District,Garrard Co.,2007,Percent,0.79
School District,Garrard Co.,2008,Percent,0.86
School District,Garrard Co.,2009,Number,161
School District,Garrard Co.,2009,Percent,0.86
School District,Glasgow Ind.,2003,Number,109
School District,Glasgow Ind.,2004,Number,118
School District,Glasgow Ind.,2005,Number,119
School District,Glasgow Ind.,2006,Number,90
School District,Glasgow Ind.,2007,Number,115
School District,Glasgow Ind.,2008,Number,109
School District,Glasgow Ind.,2003,Percent,0.79
School District,Glasgow Ind.,2004,Percent,0.86
School District,Glasgow Ind.,2005,Percent,0.86
School District,Glasgow Ind.,2006,Percent,0.87
School District,Glasgow Ind.,2007,Percent,0.83
School District,Glasgow Ind.,2008,Percent,0.8
School District,Glasgow Ind.,2009,Number,126
School District,Glasgow Ind.,2009,Percent,0.8
School District,Grant Co.,2003,Number,212
School District,Grant Co.,2004,Number,164
School District,Grant Co.,2005,Number,212
School District,Grant Co.,2006,Number,223
School District,Grant Co.,2007,Number,199
School District,Grant Co.,2008,Number,208
School District,Grant Co.,2003,Percent,0.79
School District,Grant Co.,2004,Percent,0.76
School District,Grant Co.,2005,Percent,0.79
School District,Grant Co.,2006,Percent,0.76
School District,Grant Co.,2007,Percent,0.78
School District,Grant Co.,2008,Percent,0.82
School District,Grant Co.,2009,Number,236
School District,Grant Co.,2009,Percent,0.81
School District,Graves Co.,2003,Number,250
School District,Graves Co.,2004,Number,244
School District,Graves Co.,2005,Number,264
School District,Graves Co.,2006,Number,273
School District,Graves Co.,2007,Number,309
School District,Graves Co.,2008,Number,308
School District,Graves Co.,2003,Percent,0.79
School District,Graves Co.,2004,Percent,0.79
School District,Graves Co.,2005,Percent,0.88
School District,Graves Co.,2006,Percent,0.87
School District,Graves Co.,2007,Percent,0.85
School District,Graves Co.,2008,Percent,0.88
School District,Graves Co.,2009,Number,308
School District,Graves Co.,2009,Percent,0.9
School District,Grayson Co.,2003,Number,270
School District,Grayson Co.,2004,Number,249
School District,Grayson Co.,2005,Number,239
School District,Grayson Co.,2006,Number,266
School District,Grayson Co.,2007,Number,231
School District,Grayson Co.,2008,Number,274
School District,Grayson Co.,2003,Percent,0.78
School District,Grayson Co.,2004,Percent,0.9
School District,Grayson Co.,2005,Percent,0.84
School District,Grayson Co.,2006,Percent,0.87
School District,Grayson Co.,2007,Percent,0.84
School District,Grayson Co.,2008,Percent,0.84
School District,Grayson Co.,2009,Number,254
School District,Grayson Co.,2009,Percent,0.82
School District,Green Co.,2003,Number,107
School District,Green Co.,2004,Number,117
School District,Green Co.,2005,Number,112
School District,Green Co.,2006,Number,112
School District,Green Co.,2007,Number,120
School District,Green Co.,2008,Number,110
School District,Green Co.,2003,Percent,0.91
School District,Green Co.,2004,Percent,0.95
School District,Green Co.,2005,Percent,0.94
School District,Green Co.,2006,Percent,0.97
School District,Green Co.,2007,Percent,0.95
School District,Green Co.,2008,Percent,0.97
School District,Green Co.,2009,Number,122
School District,Green Co.,2009,Percent,0.98
School District,Greenup Co.,2003,Number,193
School District,Greenup Co.,2004,Number,168
School District,Greenup Co.,2005,Number,183
School District,Greenup Co.,2006,Number,181
School District,Greenup Co.,2007,Number,198
School District,Greenup Co.,2008,Number,186
School District,Greenup Co.,2003,Percent,0.77
School District,Greenup Co.,2004,Percent,0.79
School District,Greenup Co.,2005,Percent,0.8
School District,Greenup Co.,2006,Percent,0.83
School District,Greenup Co.,2007,Percent,0.85
School District,Greenup Co.,2008,Percent,0.84
School District,Greenup Co.,2009,Number,206
School District,Greenup Co.,2009,Percent,0.85
School District,Hancock Co.,2003,Number,83
School District,Hancock Co.,2004,Number,87
School District,Hancock Co.,2005,Number,104
School District,Hancock Co.,2006,Number,100
School District,Hancock Co.,2007,Number,95
School District,Hancock Co.,2008,Number,119
School District,Hancock Co.,2003,Percent,0.98
School District,Hancock Co.,2004,Percent,1
School District,Hancock Co.,2005,Percent,0.98
School District,Hancock Co.,2006,Percent,0.98
School District,Hancock Co.,2007,Percent,0.96
School District,Hancock Co.,2008,Percent,0.97
School District,Hancock Co.,2009,Number,122
School District,Hancock Co.,2009,Percent,0.98
School District,Hardin Co.,2003,Number,876
School District,Hardin Co.,2004,Number,844
School District,Hardin Co.,2005,Number,832
School District,Hardin Co.,2006,Number,891
School District,Hardin Co.,2007,Number,913
School District,Hardin Co.,2008,Number,1023
School District,Hardin Co.,2003,Percent,0.8
School District,Hardin Co.,2004,Percent,0.81
School District,Hardin Co.,2005,Percent,0.8
School District,Hardin Co.,2006,Percent,0.78
School District,Hardin Co.,2007,Percent,0.83
School District,Hardin Co.,2008,Percent,0.86
School District,Hardin Co.,2009,Number,993
School District,Hardin Co.,2009,Percent,0.88
School District,Harlan Co.,2003,Number,327
School District,Harlan Co.,2004,Number,261
School District,Harlan Co.,2005,Number,259
School District,Harlan Co.,2006,Number,280
School District,Harlan Co.,2007,Number,241
School District,Harlan Co.,2008,Number,272
School District,Harlan Co.,2003,Percent,0.75
School District,Harlan Co.,2004,Percent,0.69
School District,Harlan Co.,2005,Percent,0.72
School District,Harlan Co.,2006,Percent,0.7
School District,Harlan Co.,2007,Percent,0.67
School District,Harlan Co.,2008,Percent,0.72
School District,Harlan Co.,2009,Number,262
School District,Harlan Co.,2009,Percent,0.78
School District,Harlan Ind.,2003,Number,51
School District,Harlan Ind.,2004,Number,61
School District,Harlan Ind.,2005,Number,53
School District,Harlan Ind.,2006,Number,40
School District,Harlan Ind.,2007,Number,57
School District,Harlan Ind.,2008,Number,43
School District,Harlan Ind.,2003,Percent,0.75
School District,Harlan Ind.,2004,Percent,0.92
School District,Harlan Ind.,2005,Percent,0.91
School District,Harlan Ind.,2006,Percent,0.8
School District,Harlan Ind.,2007,Percent,0.86
School District,Harlan Ind.,2008,Percent,0.78
School District,Harlan Ind.,2009,Number,51
School District,Harlan Ind.,2009,Percent,0.84
School District,Harrison Co.,2003,Number,211
School District,Harrison Co.,2004,Number,206
School District,Harrison Co.,2005,Number,231
School District,Harrison Co.,2006,Number,187
School District,Harrison Co.,2007,Number,216
School District,Harrison Co.,2008,Number,209
School District,Harrison Co.,2003,Percent,0.88
School District,Harrison Co.,2004,Percent,0.9
School District,Harrison Co.,2005,Percent,0.88
School District,Harrison Co.,2006,Percent,0.92
School District,Harrison Co.,2007,Percent,0.92
School District,Harrison Co.,2008,Percent,0.9
School District,Harrison Co.,2009,Number,217
School District,Harrison Co.,2009,Percent,0.89
School District,Harrodsburg Ind.,2003,Number,50
School District,Harrodsburg Ind.,2004,Number,31
School District,Harrodsburg Ind.,2005,Number,34
School District,Harrodsburg Ind.,2006,Number,43
School District,Harrodsburg Ind.,2007,Number,**
School District,Harrodsburg Ind.,2008,Number,*
School District,Harrodsburg Ind.,2003,Percent,0.86
School District,Harrodsburg Ind.,2004,Percent,0.65
School District,Harrodsburg Ind.,2005,Percent,0.87
School District,Harrodsburg Ind.,2006,Percent,0.88
School District,Harrodsburg Ind.,2007,Percent,**
School District,Harrodsburg Ind.,2008,Percent,*
School District,Harrodsburg Ind.,2009,Number,*
School District,Harrodsburg Ind.,2009,Percent,*
School District,Hart Co.,2003,Number,140
School District,Hart Co.,2004,Number,153
School District,Hart Co.,2005,Number,158
School District,Hart Co.,2006,Number,148
School District,Hart Co.,2007,Number,156
School District,Hart Co.,2008,Number,149
School District,Hart Co.,2003,Percent,0.84
School District,Hart Co.,2004,Percent,0.83
School District,Hart Co.,2005,Percent,0.85
School District,Hart Co.,2006,Percent,0.86
School District,Hart Co.,2007,Percent,0.78
School District,Hart Co.,2008,Percent,0.83
School District,Hart Co.,2009,Number,151
School District,Hart Co.,2009,Percent,0.88
School District,Hazard Ind.,2003,Number,77
School District,Hazard Ind.,2004,Number,75
School District,Hazard Ind.,2005,Number,67
School District,Hazard Ind.,2006,Number,68
School District,Hazard Ind.,2007,Number,68
School District,Hazard Ind.,2008,Number,63
School District,Hazard Ind.,2003,Percent,0.88
School District,Hazard Ind.,2004,Percent,0.99
School District,Hazard Ind.,2005,Percent,1
School District,Hazard Ind.,2006,Percent,0.99
School District,Hazard Ind.,2007,Percent,0.97
School District,Hazard Ind.,2008,Percent,1
School District,Hazard Ind.,2009,Number,81
School District,Hazard Ind.,2009,Percent,1
School District,Henderson Co.,2003,Number,424
School District,Henderson Co.,2004,Number,449
School District,Henderson Co.,2005,Number,450
School District,Henderson Co.,2006,Number,410
School District,Henderson Co.,2007,Number,433
School District,Henderson Co.,2008,Number,457
School District,Henderson Co.,2003,Percent,0.74
School District,Henderson Co.,2004,Percent,0.8
School District,Henderson Co.,2005,Percent,0.81
School District,Henderson Co.,2006,Percent,0.85
School District,Henderson Co.,2007,Percent,0.86
School District,Henderson Co.,2008,Percent,0.82
School District,Henderson Co.,2009,Number,460
School District,Henderson Co.,2009,Percent,0.87
School District,Henry Co.,2003,Number,137
School District,Henry Co.,2004,Number,121
School District,Henry Co.,2005,Number,139
School District,Henry Co.,2006,Number,113
School District,Henry Co.,2007,Number,116
School District,Henry Co.,2008,Number,133
School District,Henry Co.,2003,Percent,0.81
School District,Henry Co.,2004,Percent,0.79
School District,Henry Co.,2005,Percent,0.86
School District,Henry Co.,2006,Percent,0.79
School District,Henry Co.,2007,Percent,0.81
School District,Henry Co.,2008,Percent,0.82
School District,Henry Co.,2009,Number,147
School District,Henry Co.,2009,Percent,0.85
School District,Hickman Co.,2003,Number,45
School District,Hickman Co.,2004,Number,46
School District,Hickman Co.,2005,Number,47
School District,Hickman Co.,2006,Number,57
School District,Hickman Co.,2007,Number,36
School District,Hickman Co.,2008,Number,46
School District,Hickman Co.,2003,Percent,0.82
School District,Hickman Co.,2004,Percent,0.87
School District,Hickman Co.,2005,Percent,0.89
School District,Hickman Co.,2006,Percent,0.9
School District,Hickman Co.,2007,Percent,0.84
School District,Hickman Co.,2008,Percent,0.9
School District,Hickman Co.,2009,Number,55
School District,Hickman Co.,2009,Percent,0.87
School District,Hopkins Co.,2003,Number,432
School District,Hopkins Co.,2004,Number,420
School District,Hopkins Co.,2005,Number,396
School District,Hopkins Co.,2006,Number,431
School District,Hopkins Co.,2007,Number,424
School District,Hopkins Co.,2008,Number,461
School District,Hopkins Co.,2003,Percent,0.84
School District,Hopkins Co.,2004,Percent,0.82
School District,Hopkins Co.,2005,Percent,0.8
School District,Hopkins Co.,2006,Percent,0.79
School District,Hopkins Co.,2007,Percent,0.83
School District,Hopkins Co.,2008,Percent,0.87
School District,Hopkins Co.,2009,Number,447
School District,Hopkins Co.,2009,Percent,0.85
School District,Jackson Co.,2003,Number,130
School District,Jackson Co.,2004,Number,140
School District,Jackson Co.,2005,Number,116
School District,Jackson Co.,2006,Number,116
School District,Jackson Co.,2007,Number,127
School District,Jackson Co.,2008,Number,148
School District,Jackson Co.,2003,Percent,0.84
School District,Jackson Co.,2004,Percent,0.79
School District,Jackson Co.,2005,Percent,0.81
School District,Jackson Co.,2006,Percent,0.79
School District,Jackson Co.,2007,Percent,0.82
School District,Jackson Co.,2008,Percent,0.8
School District,Jackson Co.,2009,Number,138
School District,Jackson Co.,2009,Percent,0.83
School District,Jackson Ind.,2003,Number,28
School District,Jackson Ind.,2004,Number,31
School District,Jackson Ind.,2005,Number,29
School District,Jackson Ind.,2006,Number,20
School District,Jackson Ind.,2007,Number,16
School District,Jackson Ind.,2008,Number,33
School District,Jackson Ind.,2003,Percent,0.82
School District,Jackson Ind.,2004,Percent,0.89
School District,Jackson Ind.,2005,Percent,0.94
School District,Jackson Ind.,2006,Percent,1
School District,Jackson Ind.,2007,Percent,1
School District,Jackson Ind.,2008,Percent,1
School District,Jackson Ind.,2009,Number,25
School District,Jackson Ind.,2009,Percent,0.93
School District,Jefferson Co.,2003,Number,4610
School District,Jefferson Co.,2004,Number,4920
School District,Jefferson Co.,2005,Number,4976
School District,Jefferson Co.,2006,Number,4739
School District,Jefferson Co.,2007,Number,4817
School District,Jefferson Co.,2008,Number,5240
School District,Jefferson Co.,2003,Percent,0.69
School District,Jefferson Co.,2004,Percent,0.75
School District,Jefferson Co.,2005,Percent,0.75
School District,Jefferson Co.,2006,Percent,0.74
School District,Jefferson Co.,2007,Percent,0.73
School District,Jefferson Co.,2008,Percent,0.75
School District,Jefferson Co.,2009,Number,5323
School District,Jefferson Co.,2009,Percent,0.71
School District,Jenkins Ind.,2003,Number,38
School District,Jenkins Ind.,2004,Number,32
School District,Jenkins Ind.,2005,Number,25
School District,Jenkins Ind.,2006,Number,34
School District,Jenkins Ind.,2007,Number,47
School District,Jenkins Ind.,2008,Number,38
School District,Jenkins Ind.,2003,Percent,0.97
School District,Jenkins Ind.,2004,Percent,0.8
School District,Jenkins Ind.,2005,Percent,0.89
School District,Jenkins Ind.,2006,Percent,0.97
School District,Jenkins Ind.,2007,Percent,1
School District,Jenkins Ind.,2008,Percent,0.95
School District,Jenkins Ind.,2009,Number,45
School District,Jenkins Ind.,2009,Percent,1
School District,Jessamine Co.,2003,Number,342
School District,Jessamine Co.,2004,Number,353
School District,Jessamine Co.,2005,Number,367
School District,Jessamine Co.,2006,Number,371
School District,Jessamine Co.,2007,Number,366
School District,Jessamine Co.,2008,Number,427
School District,Jessamine Co.,2003,Percent,0.72
School District,Jessamine Co.,2004,Percent,0.74
School District,Jessamine Co.,2005,Percent,0.78
School District,Jessamine Co.,2006,Percent,0.78
School District,Jessamine Co.,2007,Percent,0.78
School District,Jessamine Co.,2008,Percent,0.84
School District,Jessamine Co.,2009,Number,434
School District,Jessamine Co.,2009,Percent,0.86
School District,Johnson Co.,2003,Number,211
School District,Johnson Co.,2004,Number,202
School District,Johnson Co.,2005,Number,196
School District,Johnson Co.,2006,Number,217
School District,Johnson Co.,2007,Number,199
School District,Johnson Co.,2008,Number,247
School District,Johnson Co.,2003,Percent,0.84
School District,Johnson Co.,2004,Percent,0.82
School District,Johnson Co.,2005,Percent,0.91
School District,Johnson Co.,2006,Percent,0.92
School District,Johnson Co.,2007,Percent,0.93
School District,Johnson Co.,2008,Percent,0.94
School District,Johnson Co.,2009,Number,232
School District,Johnson Co.,2009,Percent,0.91
School District,Kenton Co.,2003,Number,753
School District,Kenton Co.,2004,Number,750
School District,Kenton Co.,2005,Number,793
School District,Kenton Co.,2006,Number,844
School District,Kenton Co.,2007,Number,856
School District,Kenton Co.,2008,Number,817
School District,Kenton Co.,2003,Percent,0.91
School District,Kenton Co.,2004,Percent,0.9
School District,Kenton Co.,2005,Percent,0.87
School District,Kenton Co.,2006,Percent,0.9
School District,Kenton Co.,2007,Percent,0.9
School District,Kenton Co.,2008,Percent,0.86
School District,Kenton Co.,2009,Number,854
School District,Kenton Co.,2009,Percent,0.88
School District,Knott Co.,2003,Number,153
School District,Knott Co.,2004,Number,169
School District,Knott Co.,2005,Number,160
School District,Knott Co.,2006,Number,150
School District,Knott Co.,2007,Number,130
School District,Knott Co.,2008,Number,149
School District,Knott Co.,2003,Percent,0.72
School District,Knott Co.,2004,Percent,0.79
School District,Knott Co.,2005,Percent,0.82
School District,Knott Co.,2006,Percent,0.83
School District,Knott Co.,2007,Percent,0.82
School District,Knott Co.,2008,Percent,0.87
School District,Knott Co.,2009,Number,142
School District,Knott Co.,2009,Percent,0.86
School District,Knox Co.,2003,Number,225
School District,Knox Co.,2004,Number,244
School District,Knox Co.,2005,Number,256
School District,Knox Co.,2006,Number,247
School District,Knox Co.,2007,Number,242
School District,Knox Co.,2008,Number,251
School District,Knox Co.,2003,Percent,0.63
School District,Knox Co.,2004,Percent,0.69
School District,Knox Co.,2005,Percent,0.77
School District,Knox Co.,2006,Percent,0.77
School District,Knox Co.,2007,Percent,0.81
School District,Knox Co.,2008,Percent,0.8
School District,Knox Co.,2009,Number,260
School District,Knox Co.,2009,Percent,0.76
School District,Larue Co.,2003,Number,152
School District,Larue Co.,2004,Number,133
School District,Larue Co.,2005,Number,120
School District,Larue Co.,2006,Number,141
School District,Larue Co.,2007,Number,149
School District,Larue Co.,2008,Number,161
School District,Larue Co.,2003,Percent,0.8
School District,Larue Co.,2004,Percent,0.8
School District,Larue Co.,2005,Percent,0.82
School District,Larue Co.,2006,Percent,0.88
School District,Larue Co.,2007,Percent,0.9
School District,Larue Co.,2008,Percent,0.95
